Job Title,Company Name,Location,Job Description,Salary Estimate,Job Type,Experience Level
Data Scientist (Applied AI),Not Specified,United States,"Movable Ink scales content personalization for marketers through data-activated content generation and AI decisioning. The world’s most innovative brands rely on Movable Ink to maximize revenue, simplify workflow and boost marketing agility. Headquartered in New York City with close to 600 employees, Movable Ink serves its global client base with operations throughout North America, Central America, Europe, Australia, and Japan. As a Data Scientist, you will be part of our Applied AI and Machine",600 ,Unknown,Unknown
Machine Learning Engineer / Data Scientist,Not Specified,"New York, NY","Dice is the leading career destination for tech experts at every stage of their careers. Our client, Lorven Technologies, Inc., is seeking the following. Apply via Dice today! Our client is looking Machine Learning Engineer for Long term contract project in NYC,NY | Onsite below is the detailed requirements. Job Title : Machine Learning Engineer Location : NYC,NY | Onsite | Hybrid Duration : Long Term Job Description: Analyze large and complex datasets to derive actionable insights and inform bu",Not Provided,Contract,Lead
Data Scientist,Not Specified,"Chicago, IL","Company Description NielsenIQ is a consumer intelligence company that delivers the Full View™, the world’s most complete and clear understanding of consumer buying behavior that reveals new pathways to growth. Since 1923, NIQ has moved measurement forward for industries and economies across the globe. We are putting the brightest and most dedicated minds together to accelerate progress. Our diversity brings out the best in each other so we can leave a lasting legacy on the work that we do and th",1923,Unknown,Unknown
Data Scientist / Software Engineer 4 - AM1012544,Not Specified,"Sunnyvale, CA","At Juniper, we believe the network is the single greatest vehicle for knowledge, understanding, and human advancement the world has ever known. To achieve real outcomes, we know that experience is the most important requirement for networking teams and the people they serve. Delivering an experience-first, AI-Native Network pivots on the creativity and commitment of our people. It requires a consistent and committed practice, something we call the Juniper Way. Data Sciencist / Software Engineer ",Not Provided,Unknown,Unknown
Data Scientist (L6) - Member Economics,Not Specified,United States,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The Member Engagement and Experience Data Science and Engineering team is at the forefront of driving innovations in Netflix’s core product experience within our streaming an",283 ,Unknown,Lead
Junior Data Scientist,Not Specified,"Alabama, United States","About Since 2010 SynergisticIT has helped Jobseekers get employed in the tech Job market by providing candidates the requisite skills, experience and technical competence to outperform at interviews and at clients. The Tech Job market has been affected by massive layoffs and since 2021 there have been more than 600,000.00 tech layoffs. The Job market is Hyper Competitive. For 1 position 500-1000 candidates or more are applying and laid off job seekers are also competing for entry level Job posit",2010 ,Unknown,Entry
Data Scientist,Not Specified,"New York, United States","Data Scientist Location: New York, US Highly Competitive Market Rate Salary on offer Paritas is working with a leading systematic investment client who specializes in quantitative research and algorithmic trading. The firm leverages cutting-edge technology, advanced data analytics, and innovative strategies to drive superior market performance. This role will sit a small team of Data Scientists who play a vital role in ensuring the smooth day-to-day implementation of a large research infrastruct",Not Provided,Unknown,Lead
"Data Scientist, Product, AI Data",Not Specified,"Mountain View, CA","Minimum qualifications: Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.5 years of work experience with analysis applications (extracting insights, performing statistical analysis, or solving business problems), and coding (Python, R, SQL) (or 2 years of work experience with a Master's degree). Preferred qualifications: 3 years of experience in scripting, statistical analysis (e.g., R, Stata, SPSS, SAS), developing and ",5 ,Unknown,Unknown
Data Scientist I,Not Specified,"Bethesda, MD","Who We Are HelioCampus was founded with the purpose of helping college & university leaders navigate today’s growing pressures. As one of EdTech’s most steadily growing companies, our roots in higher ed ground us in the critical nature of this work. What We Do We help our clients navigate today’s high stakes with data and Institutional Performance Management practices. Together with our clients, we chart a path to sustainability by borrowing practices from the most successful businesses. How We ",Not Provided,Unknown,Lead
Data Scientist - 704148,Not Specified,"Manhattan, NY","*Only permanent employees in the civil service title, comparable title (under 6.1.9), eligible for the 55a program, and those that are reachable in the civil service list are eligible to apply. * **This position may be eligible for remote work for up to 2 days per week, pursuant to the Remote Work Pilot Program. ** The NYC Department of Consumer and Worker Protection (DCWP) protects and enhances the daily economic lives of New Yorkers to create thriving communities. DCWP licenses more than 45,00",6,Remote,Unknown
Data Scientist,Not Specified,"Malvern, PA","Responsibilities job summary: Working with other data scientists on the team to develop AI/ML solutions in the legal/compliance domain.Leveraging a broad range of techniques. location: Malvern, Pennsylvania job type: Contract salary: $65.08 - 70.08 per hour work hours: 8am to 5pm education: Bachelors Responsibilities Working with other data scientists on the team to develop AI/ML solutions in the legal/compliance domain.Leveraging a broad range of techniques. Qualifications Qualifications Extens",$65,Contract,Unknown
"Data Scientist, People Analytics",Not Specified,United States,"POS-20135 HubSpot’s mission is to help millions of organizations grow better. We build a CRM platform for scaling businesses that helps them deliver a delightful customer experience that their customers love. The HubSpot People Analytics team helps HubSpot employees (or HubSpotters, for short) thrive so that they can delight customers. We do that by building analytical products to help HubSpotters grow better. As a Data Scientist, you will help the People Analytics team advance our predictive an",20135 ,Unknown,Unknown
Senior/Staff Research Data Scientist,Not Specified,San Francisco Bay Area,"TRM Labs is a blockchain intelligence company dedicated to fighting crime and creating a safer world for billions of people. By leveraging blockchain data, threat intelligence, and advanced analytics, our products empower governments, financial institutions, and crypto businesses to safeguard communities from illicit activity and global security threats. At TRM Labs, you’ll be part of a mission-driven, fast-paced environment where your work directly contributes to building a safer future. Our te",Not Provided,Unknown,Unknown
"Data Scientist, Credit Risk",Not Specified,United States,"Who We Are Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves more than 120,",120,Unknown,Lead
"Data Scientist, Product, Search",Not Specified,"New York, NY","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: New York, NY, USA; Mountain View, CA, USA.Minimum qualifications: Master's degree in Statistics, Economics, Engineering, Mathematics, a related quantitative field, or equivalent practical experience.3 years of experience with statistical data analysis, data mining, and querying (e.g., SQL). 1 year of experience managing analytical projects. Preferred qualifications: 3 year",3 ,Unknown,Unknown
Junior Data scientist/Jr aws java Developer-remote,Not Specified,"Athens, GA","SYNERGISTICIT wants every candidate to know that the Job Market is Challenging and to stand out, you need to have exceptional skills and technologies and that's where we come in to make sure you get the attention which you need Position open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped thousands of candidates get jobs at technology clients like apple, google, Pa",2010 ,Unknown,Unknown
Machine Learning Data Scientist,Not Specified,"Portsmouth, NH","United States, Portsmouth (New Hampshire) Today, Lonza is a global leader in life sciences operating across three continents. While we work in science, there’s no magic formula to how we do it. Our greatest scientific solution is talented people working together, devising ideas that help businesses to help people. In exchange, we let our people own their careers. Their ideas, big and small, genuinely improve the world. And that’s the kind of work we want to be part of. We are seeking a dedicated",Not Provided,Unknown,Lead
Data Scientist,Not Specified,"Redmond, WA","Skills: Statistical Analysis, Machine Learning, Data Visualization, Python Programming, Big Data Technologies, Predictive Modeling, Data Mining, LLM, Job Title: Data Science LLM Expert Location: REMOTE Job Description: Artificial General Intelligence (AGI) Data Services is at the forefront of AI innovation, specializing in the development and refinement of large language models (LLMs). Our mission is to create AI systems that can understand and generate high-quality code, revolutionizing the sof",Not Provided,Remote,Unknown
Cloud Data Scientist,Not Specified,United States,"Job Description: Type of Requisition: Regular Clearance Level Must Currently Possess: None Clearance Level Must Be Able To Obtain: None Public Trust/Other Required: None Job Family: Data Science Skills: Job Qualifications: Artificial Intelligence (AI), Data Analysis, Machine Learning, Python (Programming Language), Structured Query Language (SQL) Certifications: None Experience: 2 + years of related experience US Citizenship Required: No Job Description: Seize your opportunity to make a personal",2 ,Unknown,Unknown
Junior Data Scientist / Junior Software Developer,Not Specified,"Chicago, IL","SYNERGISTICIT wants every candidate to know that the Job Market is Challenging and to stand out, you need to have exceptional skills and technologies and that's where we come in to make sure you get the attention which you need Position open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped thousands of candidates get jobs at technology clients like apple, google, Pa",2010 ,Unknown,Unknown
Data Scientist,Not Specified,"Wyandotte, MI","Job Title: Part-Time Data Science EngineerLocation: Wyandotte, MI (Partly On-Site / Partly Remote)Employment Type: Part-Time Contract (24 hours/week, 9 months with the possibility of extension)Job Description:The Stefanini Group is seeking a Data Science Engineer with experience in developing dashboards and analytics applications for scientists. This role involves a blend of on-site and remote work at a leading organization in Wyandotte, MI, offering a flexible schedule of 24 hours per week. The",24 ,Part-time,Lead
Data Scientist - All Levels,Not Specified,"Memphis, TN","About FedEx Dataworks Born out of FedEx, a pioneer that ships nearly 20 million packages a day and manages endless threads of information, FedEx Dataworks is an organization rooted in connecting the physical and digital sides of our network to meet today's needs and address tomorrow's challenges. We are creating opportunities for FedEx, our customers, and the world at large by: Exploring and harnessing data to define and solve true problemsRemoving barriers between data sets to create new avenue",20 ,Unknown,Unknown
Data Scientist,Not Specified,"Sunnyvale, CA","We are looking for a Data Scientist to work for one of our direct clients in Sunnyvale CA, USA.It's a long term contract role with the client.Hybrid Role: 2-3 days a week onsite (Sunnyvale, CA). We are seeking an experienced Data scientist (+3 YOE) with expertise in NLP, deep learning and E-commerce to lead building ML-powered applications. In this role, you will lead the development and evaluation of ML models to solve business problems and the integration into Digital Landscape product. This p",2-3 ,Contract,Lead
Data Scientist - Python (US Remote),Not Specified,United States,"About KnowBe4 KnowBe4, the provider of the world's largest security awareness training and simulated phishing platform, is used by tens of thousands of organizations around the globe. KnowBe4 enables organizations to manage the ongoing problem of social engineering by helping them train employees to make smarter security decisions, every day. Fortune has ranked us as a best place to work for women, for millennials, and in technology for four years in a row! We have been certified as a ""Great Pla",4 ,Unknown,Unknown
Data Scientist Summer Intern,Not Specified,"San Antonio, TX","Company Overview Along with its affiliate companies, Affinius Capital invests across the risk spectrum for a global client base, managing over $64 billion in gross assets under management within a diversified portfolio across North America and Europe. Affinius Capital provides strategic equity and debt capital, including to capitalize on the accelerating demand for technology-driven real estate assets, to meet the critical need for housing solutions, and for other market and capital structure op",$64 ,Unknown,Unknown
Data Scientist/ Azure Data Engineer,Not Specified,"Eden Prairie, MN",Job Description: Data Scientist/Engineer - Data Migration & Clean-UpLocation: Hybrid/RemoteDuration: 6 months to 1 years seeking an experienced Data Scientist/Engineer to join the OH Migrations/Data Clean-Up team. This individual will play a crucial role in supporting the migration of data from non-Cloud to Cloud environments. The ideal candidate will possess strong data science and engineering expertise and be able to jump in quickly to collaborate with the team for the next 6 months to a year.,6 ,Remote,Unknown
[Full Remote] Data Scientist,Not Specified,United States,"This position is in the team of RELX, leading manifacturer in the e-cigarette industry The summary of the opportunity from Joinrs AI: RELX seeks a Data Scientist with a Master's degree in Data Science or related field and 2 years of experience. You will conduct analyses to support insurance decision making and present results to various audiences. Telecommuting is an option. We are committed to a fair hiring process and offer accommodations for disabilities. The selection process will be fully m",2 ,Unknown,Lead
Junior Data Scientist entry level /AI/software programmer(Remote),Not Specified,"Los Angeles, CA","Since 2010 SynergisticIT has helped Jobseekers get employed in the tech Job market by providing candidates the requisite skills, experience and technical competence to outperform at interviews and at clients. The Tech Job market has been affected by massive layoffs and since 2021 there have been more than 600,000.00 tech layoffs. The Job market is Hyper Competitive. For 1 position 500-1000 candidates or more are applying and laid off job seekers are also competing for entry level Job positions. ",2010 ,Unknown,Entry
Data Scientist,Not Specified,"Oakland, CA","Ability to synthesize complex information into clear insights and translate those insights into decisions and actions. Demonstrated ability to explain in breadth and depth technical concepts including but not limited to statistical inference, machine learning algorithms, software engineering, and model deployment pipelines.Competency in the mathematical and statistical fields that underpin data science. Mastery of systems thinking and structuring complex problems. Ability to develop, coach, and ",Not Provided,Unknown,Unknown
Data Scientist Co-op - July 2025,Not Specified,"Massachusetts, United States","About Data Scientist Co-op - July 2025 Program Dates: July 7, 2025 - December 19, 2025 This is a Boston based opportunity with a 4 day in office expectation Who We Are At their core, Data Scientists at Wayfair are strong in quantitative analysis, have prior coding experience, and take an interest in business. They think critically to tackle complex problems, thrive in a fast-paced environment and are seeking a high-growth opportunity where they will have an immediate impact on day one. There are",2025 ,Unknown,Unknown
entry level Java Developer with Docker / junior Data scientist,Not Specified,"Connecticut, United States","About Since 2010 SynergisticIT has helped Jobseekers get employed in the tech Job market by providing candidates the requisite skills, experience and technical competence to outperform at interviews and at clients. The Tech Job market has been affected by massive layoffs and since 2021 there have been more than 600,000.00 tech layoffs. The Job market is Hyper Competitive. For 1 position 500-1000 candidates or more are applying and laid off job seekers are also competing for entry level Job posit",2010 ,Unknown,Entry
"Software Engineer, Starlink Network",Not Specified,"Sunnyvale, CA","SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars. SOFTWARE ENGINEER, STARLINK NETWORK At SpaceX we’re leveraging our experience in building rockets and spacecraft to deploy Starlink, the world’s most advanced broadband internet system. Starlink is the world’s largest s",Not Provided,Intern,Unknown
Software Engineer - Trading Systems,Not Specified,"New York, United States","WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform. WorldQuant is built on a culture that pairs academic sensibil",Not Provided,Unknown,Unknown
"Software Engineer (L5), Python Platform",Not Specified,United States,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. Our application development platform teams enable the underlying technology and best practices for engineering at Netflix. We work to provide Netflix developers with the best",283 ,Unknown,Lead
Senior Software Engineer - Simulation,Not Specified,"South San Francisco, CA","About Zipline Do you want to change the world? Zipline is on a mission to transform the way goods move. Our aim is to solve the world’s most urgent and complex access challenges by building, manufacturing and operating the first instant delivery and logistics system that serves all humans equally, wherever they are. From powering Rwanda’s national blood delivery network and Ghana’s COVID-19 vaccine distribution, to providing on-demand home delivery for Walmart, to enabling healthcare providers t",19 ,Unknown,Unknown
Software Engineer C++ ,Not Specified,"Chicago, IL","Software Engineer - C++A world-leading global systematic hedge fund is looking for a Software Engineer to be a part of its multi-billion technology trading platform and looking for a candidate with strong technology experience across multiple disciplines, High-Frequency Trading, and Low Latency Environments. Software Engineers with expertise in C++ will be a part of the Core Infrastructure team which is responsible for designing, developing, and maintaining a low latency trading platform that is",Not Provided,Unknown,Lead
Intern - Software Engineer,Not Specified,"Cranberry Township, PA","About NetApp NetApp is the intelligent data infrastructure company, turning a world of disruption into opportunity for every customer. No matter the data type, workload or environment, we help our customers identify and realize new business possibilities. And it all starts with our people. If this sounds like something you want to be part of, NetApp is the place for you. You can help bring new ideas to life, approaching each challenge with fresh eyes. We embrace diversity and openness because it",Not Provided,Unknown,Unknown
"Software Engineer, Growth",Not Specified,"San Francisco, CA","About Us We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft. We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this jour",2016,Unknown,Unknown
Software Engineer C++ ,Not Specified,New York City Metropolitan Area,"Software Engineer - C++A world-leading global systematic hedge fund is looking for a Software Engineer to be a part of its multi-billion technology trading platform and looking for a candidate with strong technology experience across multiple disciplines, High-Frequency Trading, and Low Latency Environments. Software Engineers with expertise in C++ will be a part of the Core Infrastructure team which is responsible for designing, developing, and maintaining a low latency trading platform that is",Not Provided,Unknown,Lead
Associate Software Engineer - 2025 New Grad,Not Specified,"San Diego, CA","Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today — ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500®. Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But this",2004 ,Unknown,Lead
Software Engineer - Intern (Summer 2025),Not Specified,"Redwood City, CA","C3.ai, Inc. (NYSE:AI) is a leading Enterprise AI software provider for accelerating digital transformation. The proven C3 AI Platform provides comprehensive services to build enterprise-scale AI applications more efficiently and cost-effectively than alternative approaches. The C3 AI Platform supports the value chain in any industry with prebuilt, configurable, high-value AI applications for reliability, fraud detection, sensor network health, supply network optimization, energy management, anti",3,Unknown,Lead
Jr Software Engineer,Not Specified,"Seattle, WA","Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page! Job details This Jobot Job is hosted by Christina Finster Are you a fit? Easy Apply now by clicking the ""Easy Apply"" button and sending us your resume. Salary $70,000 - $120,000 per year A Bit About Us Our client was founded with the intention of delivering on the promise of what Internet-of-Things (IoT) was supposed to be. They're building a global Bluetooth network dedicated to machine-to-machine c","$70,000 ",Intern,Unknown
Software Engineer - C++,Not Specified,"Chicago, IL","What you’ll do as a Software Engineer at Akuna:Akuna is looking for motivated self-starters to join our growing engineering team and contribute to the build-out of our proprietary options market-making trading platform. You will focus on analysis, design, implementation, testing and delivery of Akuna’s trading system using the latest technologies. A pragmatic approach to technology solutions using the latest open-source software will be required. Successful candidates will work closely with an i",Not Provided,Unknown,Unknown
"Software Engineer, Interoperability",Not Specified,"San Mateo, CA","Every day, tens of millions of people come to Roblox to explore, create, play, learn, and connect with friends in 3D immersive digital experiences– all created by our global community of developers and creators. At Roblox, we’re building the tools and platform that empower our community to bring any experience that they can imagine to life. Our vision is to reimagine the way people come together, from anywhere in the world, and on any device. We’re on a mission to connect a billion people with o",3,Unknown,Unknown
Software Engineer - New Grad (Summer 2025),Not Specified,"New York, NY","About Nominal Nominal is a venture-backed company with offices in Los Angeles, Austin, and New York City. We’re focused on building software and data solutions for organizations that test and validate complex hardware systems - think drones, rocket engines, satellites, and nuclear reactors. Our platform helps engineering teams accelerate test data review and analysis, scaling testing campaigns to save time and cut costs. Our team includes engineers and operators from SpaceX, Palantir, Anduril, a",Not Provided,Unknown,Unknown
Associate Software Development Engineer,Not Specified,"Atlanta, GA","United States, Georgia, Atlanta Information Technology 21-Feb-2025 Ref #: 27683 LinkedIn Tag How you'll help us Keep Climbing (overview & key responsibilities) Delta's IT department is undergoing a transformation to change the way we do business from top to bottom. We strive to build innovative solutions that deliver impact to our customers. As we grow, we seek new team members eager to collaborate and advance our mission of becoming a best-in-class IT organization at the world's premier airline",21,Unknown,Unknown
Quantitative Software Engineer ,Not Specified,"California, United States","Software Developer – Commodities Trading We are partnering with a leading global investment firm to find an outstanding Python developer for their Commodities technology team in Miami. This role offers the opportunity to work in a dynamic, technology-driven trading environment where your contributions will have a direct and visible impact on trading strategies and execution. Please note: If the role sounds interesting to you, but you are unable to be based in Miami, there is flexibility to consi",Not Provided,Unknown,Lead
Java Software Engineer,Not Specified,"New York, United States","BeaconFire is based in Central NJ, specializing in Software Development, Web Development,and Business Intelligence; looking for candidates with a strong background in SoftwareEngineering or Computer Science for a Java / Software Developer position. Job Responsibilities:● Develop applications using Java 8/JEE (and higher), Angular 2+, React.js, SQL, Spring,HTML5, CSS, JavaScript and TypeScript among other tools● Write scalable, secure, maintainable code that powers our clients’ platforms● Create,",8,Unknown,Unknown
"Software Engineer, Deep Learning",Not Specified,"Fremont, CA","DescriptionFounded in 2016 in Silicon Valley, Pony.ai has quickly become a global leader in autonomous mobility and is a pioneer in extending autonomous mobility technologies and services at a rapidly expanding footprint of sites around the world. Operating Robotaxi, Robotruck and Personally Owned Vehicles (POV) business units, Pony.ai is an industry leader in the commercialization of autonomous driving and is committed to developing the safest autonomous driving capabilities on a global scale. ",2016 ,Unknown,Lead
Software Engineer – Options C++ ,Not Specified,New York City Metropolitan Area,"Software Engineer – Options C++ One of the top, industry leading prop firms is looking for a C++ Software Engineer to join their options technology team, in their successful market data team. They are one of the most widely known global players for tech and trade and business operations. The team is focused on ensuring the business has access to market data coming from exchanges to understand the performance of their trading activity and make better – informed decisions about their trading strat",Not Provided,Unknown,Lead
